#Turbine    Time(s)    dt(s)    generator power (W)
0 0 0.5 0
1 0 0.5 0

0 0.5 0.5 8100024.7
1 0.5 0.5 8100024.7

0 1 0.5 8936587
1 1 0.5 8936558.3

0 1.5 0.5 9626624.5
1 1.5 0.5 9626473.5

0 2 0.5 10097944
1 2 0.5 10097819

0 2.5 0.5 10169507
1 2.5 0.5 10169322

0 3 0.5 10196036
1 3 0.5 10195791

0 3.5 0.5 10176302
1 3.5 0.5 10175998

0 4 0.5 10216876
1 4 0.5 10216505

0 4.5 0.5 10246474
1 4.5 0.5 10246049

0 5 0.5 10263707
1 5 0.5 10263236

0 5.5 0.5 10244960
1 5.5 0.5 10244461

0 6 0.5 10249136
1 6 0.5 10248585

0 6.5 0.5 10258988
1 6.5 0.5 10258430

0 7 0.5 10255898
1 7 0.5 10255420

0 7.5 0.5 10213196
1 7.5 0.5 10214160

0 8 0.5 10152276
1 8 0.5 10153045

0 8.5 0.5 10127823
1 8.5 0.5 10128155

0 9 0.5 10110558
1 9 0.5 10110841

0 9.5 0.5 10096835
1 9.5 0.5 10097051

0 10 0.5 10095644
1 10 0.5 10095590

0 10.5 0.5 10103215
1 10.5 0.5 10103143

0 11 0.5 10104528
1 11 0.5 10104566

0 11.5 0.5 10107948
1 11.5 0.5 10107996

0 12 0.5 10115519
1 12 0.5 10115404

0 12.5 0.5 10124449
1 12.5 0.5 10124322

0 13 0.5 10125297
1 13 0.5 10125279

0 13.5 0.5 10130850
1 13.5 0.5 10130831

0 14 0.5 10136474
1 14 0.5 10136356

0 14.5 0.5 10140917
1 14.5 0.5 10140826

0 15 0.5 10137679
1 15 0.5 10137672

0 15.5 0.5 10141505
1 15.5 0.5 10141462

0 16 0.5 10144613
1 16 0.5 10144501

0 16.5 0.5 10144997
1 16.5 0.5 10144901

0 17 0.5 10139312
1 17 0.5 10139282

0 17.5 0.5 10141218
1 17.5 0.5 10141122

0 18 0.5 10143925
1 18 0.5 10143780

0 18.5 0.5 10143297
1 18.5 0.5 10143176

0 19 0.5 10138086
1 19 0.5 10138028

0 19.5 0.5 10138830
1 19.5 0.5 10138704

0 20 0.5 10142549
1 20 0.5 10142396

0 20.5 0.5 10142305
1 20.5 0.5 10142185

0 21 0.5 10138247
1 21 0.5 10138188

0 21.5 0.5 10137536
1 21.5 0.5 10137412

0 22 0.5 10142235
1 22 0.5 10142092

0 22.5 0.5 10142530
1 22.5 0.5 10142427

0 23 0.5 10139273
1 23 0.5 10139219

0 23.5 0.5 10136749
1 23.5 0.5 10136635

0 24 0.5 10142177
1 24 0.5 10142036

0 24.5 0.5 10143020
1 24.5 0.5 10142910

0 25 0.5 10140225
1 25 0.5 10140156

0 25.5 0.5 10136143
1 25.5 0.5 10136031

0 26 0.5 10141831
1 26 0.5 10141675

0 26.5 0.5 10143319
1 26.5 0.5 10143185

0 27 0.5 10140866
1 27 0.5 10140777

0 27.5 0.5 10136129
1 27.5 0.5 10136042

0 28 0.5 10141212
1 28 0.5 10141028

0 28.5 0.5 10143391
1 28.5 0.5 10143227

0 29 0.5 10141287
1 29 0.5 10141168

0 29.5 0.5 10136735
1 29.5 0.5 10136651

0 30 0.5 10140362
1 30 0.5 10140164

0 30.5 0.5 10143244
1 30.5 0.5 10143074

0 31 0.5 10141549
1 31 0.5 10141421

0 31.5 0.5 10137605
1 31.5 0.5 10137532

0 32 0.5 10139308
1 32 0.5 10139110

0 32.5 0.5 10143016
1 32.5 0.5 10142822

0 33 0.5 10141866
1 33 0.5 10141730

0 33.5 0.5 10138534
1 33.5 0.5 10138456

0 34 0.5 10138203
1 34 0.5 10137994

0 34.5 0.5 10142740
1 34.5 0.5 10142519

0 35 0.5 10142286
1 35 0.5 10140939

0 35.5 0.5 10139482
1 35.5 0.5 10137380

0 36 0.5 10137218
1 36 0.5 10134127

0 36.5 0.5 10142431
1 36.5 0.5 10137127

0 37 0.5 10142766
1 37 0.5 10134231

0 37.5 0.5 10140338
1 37.5 0.5 10130836

0 38 0.5 10136254
1 38 0.5 10126193

0 38.5 0.5 10140209
1 38.5 0.5 10129177

0 39 0.5 10138281
1 39 0.5 10126708

0 39.5 0.5 10135246
1 39.5 0.5 10123369

0 40 0.5 10130665
1 40 0.5 10118185

0 40.5 0.5 10133715
1 40.5 0.5 10119917

0 41 0.5 10132556
1 41 0.5 10118050

0 41.5 0.5 10129674
1 41.5 0.5 10114481

0 42 0.5 10125298
1 42 0.5 10109362

0 42.5 0.5 10126563
1 42.5 0.5 10108549

0 43 0.5 10126319
1 43 0.5 10107458

0 43.5 0.5 10123444
1 43.5 0.5 10103401

0 44 0.5 10119507
1 44 0.5 10098396

0 44.5 0.5 10118371
1 44.5 0.5 10094202

0 45 0.5 10119107
1 45 0.5 10093772

0 45.5 0.5 10116119
1 45.5 0.5 10089093

0 46 0.5 10112492
1 46 0.5 10083748

0 46.5 0.5 10108710
1 46.5 0.5 10076329

0 47 0.5 10110248
1 47 0.5 10075533

0 47.5 0.5 10107155
1 47.5 0.5 10070309

0 48 0.5 10103471
1 48 0.5 10063951

0 48.5 0.5 10097553
1 48.5 0.5 10054888

0 49 0.5 10098848
1 49 0.5 10050885

0 49.5 0.5 10095832
1 49.5 0.5 10045669

0 50 0.5 10091682
1 50 0.5 10037726

0 50.5 0.5 10085027
1 50.5 0.5 10028276

0 51 0.5 10083819
